CRASH_ID,CRASH_DATETIME,ROUTE,MILEPOINT,LAT_UTM_Y,LONG_UTM_X,MAIN_ROAD_NAME,CITY,COUNTY_NAME,CRASH_SEVERITY_ID,WORK_ZONE_RELATED,PEDESTRIAN_INVOLVED,BICYCLIST_INVOLVED,MOTORCYCLE_INVOLVED,IMPROPER_RESTRAINT,UNRESTRAINED,DUI,INTERSECTION_RELATED,WILD_ANIMAL_RELATED,DOMESTIC_ANIMAL_RELATED,OVERTURN_ROLLOVER,COMMERCIAL_MOTOR_VEH_INVOLVED,TEENAGE_DRIVER_INVOLVED,OLDER_DRIVER_INVOLVED,NIGHT_DARK_CONDITION,SINGLE_VEHICLE,DISTRACTED_DRIVING,DROWSY_DRIVING,ROADWAY_DEPARTURE
10821989,2016-02-08T15:58:00.000000+0000,30000,0.1,4620162.813999999,401008.8223,12100 N CANAL BANK RD,TREMONTON,BOX ELDER,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true
10818442,2016-01-31T20:46:00.000000+0000,15,379.382173,4617013.868999999,400919.3534,I-15,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false
10831489,2016-03-06T15:33:00.000000+0000,84,0.8,4650337.113999999,348950.3798,I-84,OUTSIDE CITY LIMITS,BOX ELDER,3,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true
10837363,2016-04-11T06:20:00.000000+0000,15,394.5,4641199.0,402868.0,I-15,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false
10834700,2016-04-04T15:35:00.000000+0000,1110,10.051,4618395.625999999,401749.6951,SR-102,TREMONTON,BOX ELDER,1,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
10818431,2016-02-01T04:33:00.000000+0000,15,379.566667,4617377.033,400775.6143,I-15,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true
10820467,2016-02-17T08:34:00.000000+0000,102,15.497,4618395.2,401749.6576,1000 W MAIN ST,TREMONTON,BOX ELDER,1,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
10827178,2016-03-10T21:30:00.000000+0000,1121,0.255,4619217.274,402166.3552,780 W 600 N,TREMONTON,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
10827190,2016-03-11T20:17:00.000000+0000,15,383.3,4623452.561,401758.4390000001,I-15,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true
10828307,2016-03-16T06:50:00.000000+0000,37712,0.1,4618291.904,402243.13550000003,100 S,TREMONTON,BOX ELDER,1,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,true
